backend,size,tile_m,tile_n,tile_k,occupancy,compile_ms,first_launch_ms,steady_latency_ms,tflops,latency_std_ms,pct_peak,max_err
cuTile,256,128,128,128,1,1470.9070270182565,8.616122009698302,0.015547733133037886,2.158155900470088,0.0008443690000505928,1.5198280989225972,0.06689453125
cuTile,256,128,128,128,2,1495.3428370063193,8.399253012612462,0.015223466542859871,2.204125578463451,0.0007352543758691741,1.5522011115939796,0.06689453125
cuTile,256,128,128,128,4,1492.7731350180693,10.013837018050253,0.016789333273967106,1.9985565509041512,0.0009769641934715774,1.4074341907775714,0.06689453125
cuTile,256,128,128,128,8,1502.534792991355,8.7724209879525,0.016725333283344905,2.006204087628766,0.0008952885707676794,1.4128197800202575,0.06689453125
Torch,512,,,,,0.0,0.4764579934999347,0.02307413344581922,11.633609410742034,0.0020392637541873184,8.19268268362115,0.0
Triton,512,16,16,16,,,0.10907999239861965,0.053384532779455186,5.028337648078214,0.0018645681366304505,3.5410828507593055,0.0001983642578125
Triton,512,32,32,32,,,0.057699973694980145,0.03556266725063324,7.548237428541588,0.0022950245108828687,5.31566016094478,0.0001983642578125
Triton,512,64,64,16,,,0.05408999277278781,0.03480960031350454,7.711535139225924,0.001620653590326601,5.4306585487506505,0.0001983642578125
Triton,512,64,64,32,,,0.054360018111765385,0.03433813378214836,7.817415404781074,0.0009056599826845642,5.50522211604301,0.0001983642578125
cuTile,512,32,32,32,,433.78098402172327,8.287723001558334,0.022120533386866252,12.135125826548997,0.0009737308694101155,8.545863258133096,0.04114341735839844
cuTile,512,32,32,32,1,434.88453002646565,8.503563003614545,0.02205013334751129,12.173869961212603,0.0007352547505773694,8.573147860008875,0.04114341735839844
cuTile,512,32,32,32,2,427.9786520055495,8.452552952803671,0.019244800011316936,13.94846690233965,0.0009203393702591268,9.822864015732149,0.04114341735839844
cuTile,512,32,32,32,4,417.3846659832634,8.399973041377962,0.018227200458447137,14.7271906408204,0.0005546009343779619,10.371261014662252,0.04114341735839844
cuTile,512,32,32,32,8,410.50894802901894,8.405823027715087,0.017476266870896023,15.359999820501542,0.000696186013488223,10.81690128204334,0.04114341735839844
cuTile,512,64,64,32,,835.1251109852456,8.540912996977568,0.015705599760015804,17.09170360264738,0.0008060954425314482,12.036410987779846,0.04114341735839844
cuTile,512,64,64,32,1,837.2617340064608,8.360092993825674,0.01548799971739451,17.331835026993268,0.0005135976584426155,12.205517624643146,0.04114341735839844
cuTile,512,64,64,32,2,797.6210310007446,8.559693000279367,0.015967999771237373,16.81083791618809,0.0007254904014466425,11.838618250836682,0.04114341735839844
cuTile,512,64,64,32,4,803.0917539726943,8.503222023136914,0.015564799743394057,17.246316073801605,0.000668874111470534,12.14529300971944,0.04114341735839844
cuTile,512,64,64,32,8,769.0744530409575,8.745801984332502,0.026756266380349794,10.032620104169057,0.0010472606090239196,7.065225425471167,0.04114341735839844
cuTile,512,64,64,64,,602.6387899764813,8.518072019796818,0.015217066556215287,17.640420708441976,0.0006319348412141353,12.422831484818293,0.05755424499511719
cuTile,512,64,64,64,1,601.1596840107813,8.43776302644983,0.015837866564591727,16.948965626477342,0.0034636453063341226,11.93589128625165,0.05755424499511719
cuTile,512,64,64,64,2,577.085942029953,8.500532014295459,0.013585066546996434,19.759598164011148,0.0005872520827115963,13.915209974655737,0.05755424499511719
cuTile,512,64,64,64,4,580.8164789923467,8.729312045034021,0.016652800018588702,16.119538798301708,0.0008682800226500879,11.351787886127964,0.05755424499511719
cuTile,512,64,64,64,8,609.7167960251682,9.902757999952883,0.015018666597704093,17.873454627525707,0.0008026550911050201,12.58693987853923,0.05755424499511719
cuTile,512,128,64,32,,1327.2300040116534,8.563582960050553,0.02905813343822956,9.23787677452262,0.0010226298712175685,6.505547024311705,0.04114341735839844
cuTile,512,128,64,32,1,1315.934851008933,8.603462018072605,0.028667733569939933,9.363679041634208,0.0008362448782454002,6.594140170164936,0.04114341735839844
cuTile,512,128,64,32,2,1228.628232027404,8.677272009663284,0.020407466093699138,13.153786695883825,0.000689644526889769,9.263230067523821,0.04114341735839844
cuTile,512,128,64,32,4,1174.9004040029831,8.500113035552204,0.029218133663137753,9.187289615923147,0.0008961875989250617,6.469922264734611,0.04114341735839844
cuTile,512,128,64,32,8,1347.3521280102432,12.24659098079428,0.027648000046610832,9.709037020668898,0.00037391205917275215,6.837350014555563,0.04114341735839844
cuTile,512,64,128,32,,1285.2568390080705,8.891860954463482,0.022984533508618673,11.67896037130111,0.0008788039796742825,8.224619979789514,0.04114341735839844
